idx	offset	len	original_en	translation_zh	notes
0	0x0200	15	"First Contact"	「第一次接觸」
11	0x122E	252	   "A demographic study of\rsector Algieba reveals that\rthe sector is dominated by\rthe Algiebian empire. A\rtactical survey indicates\rthat their starfleet is \rinferior to that of ships\rfrom other societies and can \rbe easily defeated.  End file\rAlgieba."	   「阿吉比星區人口\r研究顯示，本星區由\r阿吉比帝國主宰。戰\r術調查指出，其星艦\r隊遜於他族船艦，輕\r易可破。阿吉比檔案\r結束。」
12	0x132C	394	   "Accessing files.  Please\rwait. The majority of Sector\rKornephoros was settled by\rrefugees fleeing the\roppressive government systems\rof Sectors Izar and Ankaq.\rWhat technology they possess\rwas salvaged from the scrap\rmetal starships. As a result\rthey have not advanced as\rquickly as other sectors, but\rstill outgun the starcruisers\rthat can be found in Sector\rAlgieba. End file\rKornephoros."	   「正在存取檔案，\r請稍候。庫尼弗洛斯\r星區多由難民開拓，\r他們逃離伊薩與安卡\r克星區的高壓政體。\r其科技皆自廢鐵星艦\r拼湊。發展雖較他星\r區為慢，火力仍勝過\r阿吉比星區的巡航艦。\r庫尼弗洛斯檔案結束。」
13	0x14B8	431	   "...historical profiles\rthat were compiled at the \rcompletion of the Grand\rSurvey. Sector Caroli was\rreserved early on for Type 3\rinteraction, recreation and\rhousing for lower tech\rsocieties.  Oortizam labs is\rlocated in this sector as is\rthe Life Gallery, both which\rserve the dual purposes of\rrecreation and research. A\rfew native populations also\rmake their homes in this\rsector, notably the Eldarin\rpeople. End file Caroli."	   「……大調查完成\r時編纂之歷史檔案。\r卡羅利星區早期即保\r留為第三型互動區，\r供低科技社會休憩與\r居住。歐提薩姆實驗\r室與生命展館皆位於\r此區，兼具娛樂與研\r究雙重功能。少數原\r生族群亦定居於此，\r尤以艾爾達林人著名。\r卡羅利檔案結束。」
14	0x1669	316	   "The Rana Collective\rcontrols both the resources\rand the means of production\rfor a host of mid-tech items,\rplacing the citizens of the\rZaurak in a firm mid-tech \rposition. Many political\ranalysts theorize that\rKornephoros sector will\reventually fall into a\rgovernment like that in\rZaurak sector. End file\rZaurak."	   「拉納合眾掌控眾\r多中階科技品之資源\r與生產手段，使佐拉\r克市民穩居中階科技\r之列。多數政治分析\r家推測，庫尼弗洛斯\r星區終將落入類似佐\r拉克的政體。佐拉克\r檔案結束。」
15	0x17A7	324	   "Sec-tor Al-hen-a," the\randroid head burbles.\r"Territory disputed. No\rgovernment. Evian and Scroe\rin-tru-sions threaten to\rup-set the bal-ance of the\rSEC-tor before a firm\rsettlement can be reached by\rthe Dhoven ne-got-i-a-tors.\rSec-tor now militarily a mix\rbetween mid and high tech\rships and weap-ons. End file\rAlhena."	   「阿－赫－納星區，」\r機器人頭咕噥道。「\r領土爭議，無政府。\r伊維恩與史庫入侵威\r脅打破星區平衡，多\r文使節尚未達成穩固\r協議。星區現有軍力\r混雜中高階科技船艦\r武器。阿赫納檔案結\r束。」
16	0x18ED	425	   "A tactical study of\rSector Ankaq reveals the\rfollowing attributes: Despite\rits inability to control\rinternal strife, Shadowside\rstill controls most of the\rother worlds in in sector.\rAlthough self-governing,\rAlrai quarterly pays an \rextortionate tax to \rShadowside to keep pirate \rships out its trading zones.\rForced into a war of\rescalating technology, the\rEthnys also import high tech\rweapons and ships. End file\rAnkaq."	   「安卡克星區戰術\r研究顯示如下特徵：\r雖無力平內亂，影面\r仍主宰本星區絕大多\r數行星。阿萊雖自治，\r每季須繳重稅予影面\r以阻海盜進其貿易區。\r被迫陷入科技升級之\r戰，艾斯尼斯亦大量\r進口高階武器與船艦。\r安卡克檔案結束。」
17	0x1A98	466	   The android's dead eyes\rseem to glint with a life as\rit begins to regurgitate its\rlast data file.\r   "As monitor of the OMEGA\rForward Observational\rStation, I am restricted in \rdispensing information about\rthis sector. I will warn you\rthat any attempts to\rpenetrate more deeply into\rSector Izar will be met by\rsevere hostility by OMEGA and\rour forces.  Only the Ominar\rcan parallel our technology\rand they would be ill advised\rto come against us.  End File\rIzar."	   機器人死寂雙眼似\r現生機，開始吐露最\r後一筆檔案。\r   「身為歐米茄前哨\r觀測站監督，我對本\r星區資訊揭露受限。\r警告您：任何更深入\r伊薩星區之嘗試，將\r遭歐米茄與我方部隊\r嚴厲敵視。唯歐米納\r可與我方科技匹敵，\r若敢來犯，亦屬不智。\r伊薩檔案結束。」
18	0x1C6C	440	   "There is cause to be\rconcerned with the state of\raffairs in Sector Alnasl.\rVery possibly the most \rtechnologically advanced race\rin the Local Group, the\rOminar have been reporting\rbouts of mass insanity and\rviolence. This sector should\rbe avoided under all \rcircumstances until the cause\rof the Ominar insanity can be\rfound and corrected. These\rdevelopments may well be\rconnected to the disaster of\rthe Sol Experiment. End File\rAlnasl."	   「阿納斯爾星區局\r勢堪憂。歐米納人很\r可能是本群中科技最\r先進的種族，卻屢傳\r集體瘋狂與暴力事件。\r在歐米納瘋狂之因查\r明並修復前，無論何\r種情況皆應避開本星\r區。此事很可能與太\r陽系實驗災難相關。\r阿納斯爾檔案結束。」
19	0x1E26	338	   Lopsided atop a snake-like\rcoil of sparking wires, a\rsynthetic head moves its lips\rbut makes no sound.\r   "It's an android, or at\rleast an android's head,"\r% says. "Whoever \rraided the station went to\rgreat trouble to make sure\rthat this android didn't talk\rto anyone again. Reminds me\rof the old mafia style\rexecutions back on Earth."	   蛇狀火花電線盤上\r歪斜頂著一顆合成人\r頭，唇動卻無聲。\r   「是機器人，或至\r少是機器人的頭，」\r% 說。「無論\r是誰襲擊本站，都費\r盡心力確保它不再開\r口。讓我想起地球上\r昔日黑手黨式的處決。」
20	0x1F7A	555	   "Your profiles do not\rmatch those of the \raggressors," the man says,\rhis greyish eyes irising \rwider open. Taking a few\rmechanical steps forward, he\rextends his hand to touch\r%'s face. "You are not\rsynthetic. You are living\rcreatures?"\r   "Yes," % replies,\runderstanding now that the\rhuman looking creature is in\rfact an android.\r   "We have been attacked,"\rthe android says. "The\raggressors have stolen\rinformation from our\rdatabases. They were\rapparently interested in\rvarious tactical data about\rthe sectors. We are not\rcertain who was\rresponsible."	   「你們的資料與襲\r擊者不符，」男子說，\r他灰色的虹膜睜得更\r開。機械化地踏前數\r步，他伸手觸摸 \r%的臉。「你並非\r合成體。你們是活生\r生的生物？」\r   「是的，」% \r答，這才明白這人形\r生物其實是機器人。\r   「我們遭到攻擊，」\r機器人說。「攻擊者\r從資料庫竊取資訊。\r他們似乎對各星區的\r戰術資料感興趣。我\r們無法確定肇事者。」
21	0x21A7	597	   "I was advised by my\rsupervisors to keep a watch\rout for humans coming from\rEarth," the android says. "We\rregret that we cannot give\ryou further information on \rthe disappearance of your\rplanet. As you might have\rguessed, it was a tragic\raccident. Our analysis of the\rsituation is most certainly\rsimilar to your own. You will\rhave to find all the parts to\rthe Centauri Device and \rreconstruct it if you hope to\rbring your world back from\rthe wormhole trap. The safest\rpath, and sanest, would be to\rtry Algieba Sector. There is\ra part that is named after\rone of that sector's stars, \rafter all."	   「上級指示我留意\r來自地球的人類，」\r機器人說。「很遺憾\r我們無法提供更多有\r關貴行星消失的訊息。\r如你所料，那是場慘\r烈意外。我方分析想\r必與你方相近。若想\r將世界自蟲洞陷阱救\r回，必須找齊半人馬\r裝置所有零件並重組。\r最安全也最明智的路\r線是阿吉比星區。畢\r竟其中一件零件正是\r以該區某顆恆星命名。」
22	0x23FE	430	   A gear whines as the\randroid turns his head.\r   "I am not fully restored\rto functioning," the android\rsays."If you would be so\rkind, please find all the\rheads and use this to \rreactivate them. Perhaps one\rof them has a profile on\rwhatever alien force was \rresponsible for the attack on\rthe station."  \r   A device thumps solidly \rinto %'s palm as the\randroid hands it over.  \r   "I must now shut down for\rinternal diagnostics."	   機器人轉頭時齒輪\r發出嘶鳴。\r   「我尚未完全恢復\r功能，」機器人說。\r「煩請找齊所有的頭\r顱，並以此重新啟動。\r或許其中一顆存有襲\r擊本站的外星勢力資\r料。」\r   機器人遞出一具裝\r置，沉甸甸落入 \r%手中。\r   「我必須關機進行\r內部診斷。」
255	0x0200	15	"First Contact"	「第一次接觸」
