idx	offset	len	original_en	translation_zh	notes
0	0x0200	5	space
11	0x0C79	255	           A Small Matter\r           Oortizam Labs\r\rOortizam Labs is a research\rfacility looking into colony\rexpansion problems. A number of\rindependent studies are currently\rin progress by field leaders and\rinnovators. Tours available.\rReasonable rates. 	           區區小事\r           歐提薩姆實驗室\r\r歐提薩姆實驗室為研\r究殖民地擴張問題的\r機構。多項由領域權\r威與創新者主持的獨\r立研究正進行中。可\r預約參觀，價格合理。
12	0x0D7A	225	            Life Gallery\r         Merak Prime\r\rPreserved in simulated natural\rhabitats, over sixty species of\rwild animals are available for\rviewing in the Life Gallery. A\rproblem has been reported with\rrecent animal thefts. 	            生命展館\r         梅拉克之首\r\r在模擬自然棲地中保\r育，生命展館內有逾\r六十種野生動物可供\r參觀。近期傳出動物\r遭竊事件。
13	0x0E5D	205	             Desolation\r              Harvest\r\rThis world is strictly an\ragricultural world with carefully\rmaintained fields.  The space\rtraffic controller is requesting\rhelp with a mechanical\rmalfunction.	             荒蕪\r              收穫\r\r此星純為農業星球，\r田地維護精心。太空\r交管員正請求協助處\r理機械故障。
14	0x0F2C	262	          Forsake the Wind\r           Eldarin Temple\r\rDespite sweltering temperatures on\rthe surface of the planet, a\rnumber of lifeforms seem to be\rgathered around a temple. The\rcomputer advises that the Eldarins\rwill emerge from their hibernation\rcycle soon.  	          捨風而去\r           艾爾達林神廟\r\r行星地表雖然酷熱難\r耐，仍有多種生命形\r式聚集於一座神廟周\r圍。電腦提示艾爾達\r林人即將從冬眠期甦\r醒。
15	0x1034	225	          Inauguration Day\r        Presidential Station\r\rThe Algiebians are currently\rcelebrating the second\rinauguration of their president\rIshtao. Security advises that an\rinvitation will be required to\rboard the station.  	          就職之日\r        總統站\r\r阿吉比人正在慶祝伊\r許陶總統二度就職。\r保安提示登站需持邀\r請函。
16	0x1117	326	             Solitaire\r             Xixitalis\r\rCaves stretch for kilometers\rbeneath the surface of this\rplanet.  A beam down location is\rindicated fifteen hundred meters\rbelow the surface but no life\rforms or structures are detected\rthere.  Other chambers may exist\rbeyond the reach of the teletrans\ror the beam down location.	             孤獨\r             希希塔利斯\r\r行星地表下洞穴綿延\r數公里。指定光束傳\r送點位於地下一千五\r百公尺，但該處未偵\r測到生命或結構物。\r其他穴室或許存在於\r跳躍傳送與光束傳送\r點觸及範圍之外。
17	0x125F	304	          If Love Be True\r            Avia Castle\r\rAvia castle is indicated as the\rseat of Avian government.  Despite\rits primitive architecture, the\rstructure is made of a neutritium\renhanced concrete that is designed\rto shed heavy particle beam fire.\rSeveral dignitaries are registered\rin castle rooms.	          若真愛無偽\r            艾維亞城堡\r\r艾維亞城堡標示為艾\r維亞政府所在。建築\r雖原始，材質為中性\r元素強化混凝土，足\r以抵禦重型粒子束攻\r擊。城堡房間登記有\r數位達官顯要。
18	0x1391	270	         Gift of the Magin\r              Henresia\r\rScans indicate that eighty percent\rof Subra II is submerged in\rswamplands. A dryspot located near\rseveral supermassive trees is\rindicated as a possible teletrans\rlocation. A low technology river\rculture flourishes here.	         東方賢者之禮\r              亨瑞西亞\r\r掃描顯示蘇布拉二號\r百分之八十為沼澤。\r鄰近數棵超巨樹的乾\r燥點可作為跳躍傳送\r落點。此處盛行低科\r技河流文化。
19	0x14A1	191	          When Titans Fall\r             Capella I\r\rThermal imaging displays scattered\rfires burning over a two hundred\rkilometer range. A signal beamed\rfrom the surface may be an alien\rS.O.S.	          泰坦殞落之時\r             卡佩拉一號\r\r熱成像顯示二百公里\r範圍內散布著燃燒火\r源。地表發出的訊號\r可能是外星 S.O.S.
20	0x1562	248	          Catalogue #38791\r       Sector Affairs Office\r\rLong term projections of this\rplanet's orbit indicate that it\rregularly passes through a swarm\rof asteroids, making it unsuitable\rfor large settlements. A single\rlifeform occupies the planet.	          編目 #38791\r       星區事務處\r\r長期軌道推算顯示此\r星定期穿越小行星群，\r不宜大規模屯墾。星\r上僅有單一生命形式\r棲息。
21	0x165C	172	           Peace Offering\r           Hyades Station\r\rA peace conference is currently\runderway to resolve issues\rinvolving Scroe and Evian\rintrusions into the Alhena Sector.	           和平祭品\r           海雅德斯站\r\r一場和平會議正在進\r行，旨在解決史庫與\r伊維恩入侵阿赫納星\r區之爭端。
22	0x170A	239	             Squatters\r             Procyon III\r\rEvidently there is some\rdisagreement over the ownership of\rthis planet. Two armies are camped\ron the planet and negotiations are\runderway. The arbitrators do not\rrecommend casual visitors.  	             蹲占者\r             普羅西恩三號\r\r此星所有權顯然存有\r歧見。兩支軍隊紮營\r於星上，談判正進行\r中。仲裁者不建議閒\r雜訪客造訪。
23	0x17FB	239	           Stormy Weather\r            Rasalmothal\r\rMeteorological reports have\rrecently indicated winds gusting\rup to 120 kilometers per hour on\rthe planet surface. People\rtransporting to the building\rplatforms may experience\rdifficulties.	           暴風天氣\r            拉薩摩薩\r\r近期氣象報告顯示行\r星地表陣風達每小時\r一二零公里。傳送至\r建築平臺者恐遭遇困\r難。
24	0x18EC	215	           Error Factor 0\r           Zauraki Capital\r\rAloft on special platforms,\rseveral office complexes are\rfloating over the surface of\rRana I. A prime teletrans point\ris indicated on one of the newer\rplatforms.	           誤差因子 0\r           佐拉克首府\r\r多座辦公綜合體浮在\r拉納一號地表上方的\r特殊平臺。其中一座\r較新平臺標示為主要\r跳躍傳送點。
25	0x19C5	246	     And Touch The Barren Moon\r         Temple of the Sun\r\rSpectrographic analysis indicates\rthat the local atmosphere is too\rthin to support any known\rlifeforms. The temple built on the\rsurface must have been constructed\rby an extrasolar race.  	     輕觸荒蕪之月\r         太陽神廟\r\r光譜分析顯示當地大\r氣過於稀薄，無法支\r持任何已知生命。地\r表所建神廟必為太陽\r系外族群所造。
26	0x1ABD	289	       A Matter of Conscience\r         Library of Zaurak\r\rA three district city is located\rnear the Beam down point.  Long\rfamous for a compiled library of\rover 100 billion volumes of\rvarious media, the Zauraki have\rnow declared their planet and\rtheir library off limits to alien\rvisits.  	       良心問題\r         佐拉克圖書館\r\r光束傳送點附近有一\r座三區制城市。佐拉\r克人長年以收藏逾千\r億卷各式媒體之圖書\r館聞名，現宣告其行\r星與圖書館禁止外星\r訪客。
27	0x1BE0	224	      At the Edge of Twilight\r        Diphda Trade Station\r\rComputer imaging suggests that a\rtrade station is located at the\rbeam down location.  Readings\rindicate a heavy snow pack with\rminimal signs of outdoor\rexcursions. 	      暮光邊緣\r        迪夫達貿易站\r\r電腦影像顯示光束傳\r送點有貿易站。讀數\r顯示厚重積雪，戶外\r活動跡象極少。
28	0x1CC2	213	       The Apocalypse Factor\r       Ethnys Imperial Palace\r\rAn insectlike race currently\rpopulates Fomalhaut VI. Any alien\rdealings with the Ethnys must be\rchanneled through the monarch who\rlives in this palace.  	       天啟因子\r       艾斯尼斯皇宮\r\r一支類昆蟲族群目前\r棲居佛瑪豪六號。所\r有與艾斯尼斯之外交\r均須透過居於此宮之\r君主。
29	0x1D99	186	       Instrument of the Gods\r          Temple of Ankaq\r\rPlanetary readings are impossible\rto confirm due to the\rhyperactivity of the nearby sun.\rExtreme heat is expected on the\rsurface.	       眾神的器具\r          安卡克神廟\r\r鄰星過度活躍，行星\r讀數無法確認。預期\r地表極度酷熱。
30	0x1E55	248	            Double Blind\r          Utrece Homeworld\r\rNot territorial by nature, the\rUtrece have allowed numerous races\rto build around them but they\rretaliate viciously when attacked.\rA number of collectors come to\rthis world to deal with traders. 	            雙盲\r          烏特列斯母星\r\r烏特列斯人本性不重\r地盤，容許眾多族群\r在其周遭建設，但遭\r攻擊時報復凶狠。多\r位收藏家來此與商人\r交易。
31	0x1F4F	266	          A Pearl of Price\r            Nashira III\r\rOver a hundred minor island chains\rthrust through the surface of\rDeneb IV's oceans.  No sentient\rlifeforms are known to occupy the\rplanet, but a beam down location\ris available on one of the smaller\rresort islands.	          珍珠之價\r            納希拉三號\r\r逾百串小型島鏈穿出\r天津四號海洋。星上\r無已知智慧生命，但\r某座較小度假島嶼可\r供光束傳送落點。
32	0x205B	236	             Shadowside\r             Shadowside\r\rExtremely high levels of carbon\rmonoxide are evident in the local\ratmosphere as are high levels of\rother toxic materials. Visitors\rare advised to limit their\rexposure to this environment.	             影面\r             影面\r\r當地大氣含有極高濃\r度一氧化碳，及多種\r有毒物質高濃度。建\r議訪客限制接觸此環\r境之時間。
33	0x2149	190	         By Puppet Strings\r          Ominari Embassy\r\rThe Ominar base is apparently\rshielded from scans. High energy\rfluctuations in the upper\ratmosphere seem to indicate\rteletrans activity.	         傀儡之繩\r          歐米納大使館\r\r歐米納基地顯然有遮\r罩防掃描。高空大氣\r高能波動顯示有跳躍\r傳送活動。
34	0x2209	221	  Ghosts, Nightmares & Yesterdays\r           WayPoint Nine\r\rAn energy rift to the starboard\rside of the station is bathing the\rexperimental station with hard\rradiation. A request for help is\rbeing beamed from the station.	  幽靈、夢魘與昨日\r           九號航點\r\r站體右舷一道能量裂\r縫使實驗站浸於強輻\r射中。站內正發出求\r援訊號。
35	0x22E8	303	        First Contact\r        OMEGAN Outpost\r\rA small informational outpost has\rbeen established on a dead moon.\rETS records indicate this as a\rcontact point for observers who\rwere assisting with the failed\rCentauri Drive Experiment. There\rare some signs that indicate that\rthere may still be life here.	        第一次接觸\r        歐米茄前哨站\r\r一座小型情報前哨設\r於死寂之月。ETS 紀\r錄指出此處為協助失\r敗之半人馬驅動實驗\r觀察員的聯絡點。有\r若干跡象顯示此處或\r仍有生命。
36	0x2419	2	36
37	0x241D	278	          Into The Breech\r          Ascella 2\r\rScans indicate an enormous amount\rof electronic activity down there.\rThe complex seems to be completely\rautomated. Movement on the scanners\rcould mean robots, but electromag\rinterference is shielding against\rour scanning attempts. 	          躍入裂口\r          阿瑟拉二號\r\r掃描顯示地面下方有\r極大量電子活動。該\r綜合體似乎完全自動\r化。掃描器上的動作\r或為機器人，但電磁\r干擾阻擋我方掃描嘗\r試。
38	0x2535	2	38
39	0x2539	2	39
40	0x253D	287	               Sol 1\r              Mercury\r\rScans indicate a heavily cratered \rsurface. This planet has seen a\rlot of action in its day. The \rtemperature ranges from 800\rdegrees on the sunny side to minus\r300 degrees on the dark side. Not\rvery hospitable for us. No life\rforms indicated.	               太陽系一號\r              水星\r\r掃描顯示地表布滿撞\r擊坑。此星經歷過許\r多事件。溫度自向陽\r面八百度至背陽面負\r三百度。對我們極不\r宜居。未顯示生命形\r式。
41	0x265E	80	               Sol 2\r               Venus\r\rVenus has no msg you sill person\ryou.	               太陽系二號\r               金星\r\r金星沒訊息啦笨蛋。
42	0x26B0	256	             Homecoming\r         U.N.F.A. Moonbase\r\rThe U.N.F.A. Moonbase, constructed\roriginally for the purpose of a\rtrip to Mars, now houses the\rresearch and development teams\rthat support the ongoing mission\rto recover the Earth from its\rwormhole trap.	             歸鄉\r         聯合星際艦隊月球基地\r\r聯合星際艦隊月球基\r地原為火星之旅而建，\r現容納支援將地球自\r蟲洞陷阱救回任務的\r研發團隊。
43	0x27B2	253	               Sol 4\r                Mars\r\rScans indicate thin clouds of \rcondensed carbon dioxide, water \rvapor and dust. If I remember my \rdays at the academy, this means\rthe coming of spring for the red\rplanet.  Not much of real use to\rus down there.	               太陽系四號\r                火星\r\r掃描顯示薄雲，由凝\r結二氧化碳、水汽與\r塵埃組成。若我學院\r時代沒記錯，這代表\r紅色行星春季將至。\r那兒沒太多對我們有\r用之物。
44	0x28B1	292	               Sol 5\r               Saturn\r\rScans indicate the planet's core to\rbe made up primarily of liquid \rhydrogen, surrounded by three\rlayers of gaseous clouds. This\rplanet is a lot like Jupiter, but\rthe storms are even more violent.\rNo metals indicated. Nothing of\ruse to the mission.	               太陽系五號\r               土星\r\r掃描顯示行星核心主\r由液態氫構成，外圍\r三層氣態雲。此星酷\r似木星，但風暴更為\r劇烈。未顯示金屬，\r對任務無用。
45	0x29D7	345	               Sol 6\r              Jupiter\r\rScans indicate the planet's core to\rbe made up primarily of liquid \rhydrogen, surrounded by three\rlayers of gaseous clouds. Only a\rsmall portion of the lower\ratmosphere holds a temperature\rrange suitable for our\renvironmental suits. The Jovian\rmagnetosphere prevents teletrans\rand more detailed scans.	               太陽系六號\r              木星\r\r掃描顯示行星核心主\r由液態氫構成，外圍\r三層氣態雲。下層大\r氣僅一小部分溫度適\r合我方環境裝。木星\r磁層阻擋跳躍傳送與\r更詳細的掃描。
46	0x2B32	197	               Sol 7\r               Uranus\r\rScans indicate a rocky core with\rno heavy metals or life,\rsurrounded by a frozen mantle and\rclouds of Methane ice crystals. No\ruseful materials detected.	               太陽系七號\r               天王星\r\r掃描顯示岩質核心，\r無重金屬亦無生命，\r外圍為凍結地幔與甲\r烷冰晶雲。未偵測到\r有用材料。
47	0x2BF9	199	               Sol 8\r              Neptune\r\rOne of its moons appears to have a\rMethane atmosphere and oceans of \rliquid Nitrogen. Not the prime \rchoice for a vacation. No reason\rfor contact, Captain.	               太陽系八號\r              海王星\r\r其中一顆衛星似有甲\r烷大氣與液態氮海洋。\r不是渡假首選。艦長，\r無接觸理由。
48	0x2CC2	220	               Sol 9\r               Pluto\r\rScans indicate Methane atmosphere \rand frozen Methane surface.\rSurface temperature is minus 350\rdegrees. It's a dark and lonely\rplace.  Nothing of value to the\rmission detected.	               太陽系九號\r               冥王星\r\r掃描顯示甲烷大氣與\r凍結甲烷地表。地表\r溫度負三五零度。一\r個黑暗孤寂之地。未\r偵測到對任務有價值\r之物。
49	0x2DA0	2	49
50	0x2DA4	209	Scanning passes indicate no\rsentient lifeforms currently\rinhabiting this planet. Carbon\rchains detected in the atmosphere\rwould seem to indicate that a\ryield of Earthlike Organics could\rbe mined from our ship.	掃描顯示此星目前無\r智慧生命棲息。大氣\r中偵測到的碳鏈似乎\r意味著可從本艦開採\r類地有機物。
51	0x2E77	207	There are sizable deposits of\rEarthlike Organics in this\rplanet's strata. Other sources may\rbe located deeper in the core of\rthe planet but we will have to\rwait until those sources are\rforced to the surface.	此星地層含有大量類\r地有機物。更深的核\r心或藏有其他來源，\r但須等其被擠出地表\r方可取得。
52	0x2F48	182	Background comparison studies\rindicate high levels of gamma\rradiation coming from the planet.\rSamples beamed from the surface\rseem to suggest the presence of\rEarthlike Radioactives. 	背景比對研究顯示此\r星發出高量伽馬輻射。\r從地表傳回的樣本似\r乎指出存有類地放射\r物。
53	0x3000	191	Strontium levels in the local\renvironment would make teletrans\rto the surface instantly lethal.\rThe good news is that this world\rnaturally produces large\rquantities of Earthlike\rRadioactives.	當地環境鍶含量過高，\r跳躍傳送至地表將立\r即致命。好消息是此\r星天然產出大量類地\r放射物。
54	0x30C1	209	The crystals displayed on the\rviewscreen would appear to have\rbeen naturally formed by volcanic\ractivity on the planet's surface.\rWe should be able to mine these\rCrystallines in bulk with the\rship's teletrans.	螢幕上顯示之水晶似\r乎由行星地表火山活\r動天然形成。我們應\r能以本艦跳躍傳送大\r量開採此類晶體。
55	0x3194	164	This planet appears to be a major\rsource of Crystallines.  If its\rcrystal formation rate remains\rconstant, we should be able to\rmine this planet on a regular\rbasis.	此星似為晶體主要產\r地。若晶體生成速率\r恆定，我們應可定期\r開採此星。
56	0x323A	201	We will be unable to beam down to\rthe surface of this world as\rmagnetic effects could disrupt\rteletrans stability. We should be\rable to compensate enough to\rharvest any Heavy Metals that we\rcan detect.	因磁性效應會干擾跳\r躍傳送穩定性，無法\r傳送至地表。但我們\r應可補償以採收所偵\r測到的重金屬。
57	0x3305	194	Iron, Copper and Nickel make up\rthe majority of this planet's\rcrust, making it a primary\rproducer for Heavy Metals.\rQuantities are large enough that\rwe should be able to mine here in\rthe future.	鐵、銅、鎳構成此星\r地殼主要成分，使其\r成為重金屬主要產地。\r蘊藏量足夠日後再來\r開採。
58	0x33C9	162	Large gaps in the upper atmosphere\rmay be the signature of a major\rInert Gas producer. If we can find\rconcentrated quantities then we\rshould be able to mine here.	高空大氣的大型缺口\r可能是主要惰性氣體\r產地的特徵。若能找\r到濃縮處便可在此開\r採。
59	0x346D	147	No signs of civilization are\revident on this planet. Analysis\rof the atmosphere indicates the\rpresence of Inert Gases which we\rmay be able to mine.	此星未見文明跡象。\r大氣分析顯示存有惰\r性氣體，我們或可開\r採。
60	0x3502	148	Conditions here are favorable for\rthe formation of Soft Metals like\rgold and lead. There should be no\rdifficulty in mining them directly\rfrom orbit.	此地條件利於黃金、\r鉛等軟金屬形成。直\r接從軌道開採應無困\r難。
61	0x3598	107	Rich veins of Soft Metals are\ralmost visible from orbit. The\rsupply, for our purposes, is\rnearly unlimited.	從軌道幾可見軟金屬\r富礦脈。對我方而言\r供應近乎無限。
62	0x3605	206	Ninety seven percent of this\rworld's surface is submerged by a\rsea of peculiar composition.\rWater, alcohol and various other\rCommon Liquids may be suitable for\rour purposes. Beam down will not\rbe necessary.	此星百分之九十七地\r表淹沒於組成奇特之\r海。水、酒精及多種\r普通液體或合我方需\r求。無須光束傳送。
63	0x36D5	204	Small pockets of Common Liquids\rare detectable on the surface of\rthis planet. Although we shouldn't\rhave any problems mining here, I\rsuspect that it will take a while\rbefore this planet can generate\rmore.	地表偵測到零星普通\r液體囊袋。雖開採無\r虞，恐怕此星還需一\r段時間方能再生產更\r多。
64	0x37A3	227	An air content analysis indicates\rthat the atmosphere is largely\rcomposed of an Alien Gas whose\rproperties more closely resemble\rplasma than anything else. These\rgases are among the minerals that\rMoonbase has requested we mine.	空氣成分分析顯示大\r氣大部分由異星氣體\r組成，其性質較像電\r漿。這些氣體屬於月\r球基地請我們開採的\r礦物之一。
65	0x3888	149	We are detecting a number of new\relements in gaseous form.  These\rAlien Gases appear to be quite\rabundant and could be extracted\rfrom the atmosphere.	偵測到多種氣態新元\r素。這些異星氣體相\r當豐富，可從大氣中\r萃取。
66	0x391F	186	Our scans of the planet surface\rare being reflected back. The\rrecords aboard the ETS indicated\rthat this was sometimes a problem\rwhen scanning worlds with\rconcentrations of Alien Metals.	我方對地表的掃描遭\r到反射回來。ETS 紀\r錄顯示掃描含高濃度\r異星金屬之星時偶有\r此狀況。
67	0x39DB	191	Judging by the degree of sensor\rdeflection we are encountering,\rthere is a motherload of Alien\rMetals in the crust of this\rplanet. We should literally be\rable to take as much as we can\rcarry!	根據感應器偏轉程度\r判斷，此星地殼蘊藏\r海量異星金屬。我們\r真能載多少採多少！
68	0x3A9C	194	Severe radiation makes this planet\runsuitable to all forms of life\rknown in this arm of the galaxy.\rThe computer does suggest,\rhowever, that Alien Radioactive\rIsotopes could be mined from\rorbit.	強烈輻射使此星不適\r合本旋臂所知一切生\r命形式。然而電腦建\r議可從軌道開採異星\r放射性同位素。
69	0x3B60	174	A fury of radioactive activity is\rsweeping the planet, making beam\rdown impossible. We still can\rharvest a king's bounty of Alien\rRadioactive isotopes with little\rdifficulty.	狂暴的輻射活動席捲\r此星，光束傳送無法\r進行。我們仍可輕易\r取得豐厚異星放射性\r同位素。
70	0x3C10	152	We are detecting a number of\rcompounds not found previously in\rcrystalline form. If mined, we may\rbe able to use these Alien\rCrystals in the Replicator.	偵測到多種前所未見\r的晶態化合物。若開\r採，此異星水晶或可\r用於複製機。
71	0x3CAA	205	At first I thought we were\rreceiving transmissions from the\rplanet but I realized the\rinterference was generated by the\rpresence of Alien Crystals.  We\rshould be able to mine them in\rlarge, steady amounts.	起初我以為收到行星\r傳輸，後才發現干擾\r源是異星水晶。我們\r應能穩定大量開採。
72	0x3D79	185	A close analysis of this biosphere\rreveals several unordered\rlifeforms, none evolved enough for\rcommunication. It is possible,\rhowever, that we can distill Alien\rOrganics from the soil.	對此生物圈詳細分析\r顯示多種無序生命形\r式，無一進化至可溝\r通程度。但我們仍可\r從土壤中提煉異星有\r機物。
73	0x3E34	220	Judging by the evidence in the\rsoil, this planet must have been\rteeming with life at one time.\rThere's no one to contact now, but\rwe should have an ample supply of\rAlien Organics. We can extract\rthem at a very fast rate.	從土壤證據判斷，此\r星曾經生機盎然。如\r今雖無人可聯繫，異\r星有機物供應應該充\r裕。可快速萃取。
74	0x3F12	176	Although it would seem to be\rcondensing them at a fantastically\rslow rate, this planet could\rprobably generate Alien Liquids if\rgiven sufficient time between\rextraction visits.	雖凝結速率慢得驚人，\r若每次採收之間留足\r時間，此星應能生產\r異星液體。
75	0x3FC4	176	Although it would seem to be\rcondensing them at a fantastically\rslow rate, this planet could\rprobably generate Alien Liquids if\rgiven sufficient time between\rextraction visits.	雖凝結速率慢得驚人，\r若每次採收之間留足\r時間，此星應能生產\r異星液體。
76	0x4076	149	Detecting unusual molecular\rcombinations in the planet's\rcrust. These Uncommon Compounds\rmay be of interest to the\rReplication team back at Moonbase.	行星地殼偵測到罕見\r分子組合。月球基地\r複製團隊或對此罕見\r化合物有興趣。
77	0x410D	171	This planet seems to fall well\rinto the mid-range Caneghem\rplanetary scale:  moderate\rtemperatures, average orbit. To\rits note, it has huge deposits of\rUncommon Compounds.	此星在卡內赫姆行星\r量表中屬中段：溫度\r適中、軌道平凡。值\r得注意的是蘊藏大量\r罕見化合物。
78	0x41BA	182	We may have a few New Elements to\rname when we return to Moonbase.\rWe are detecting atomic structures\rof incredibly high mass numbers.\rWe may be able to mine them with\rour teletrans.	返回月球基地時或有\r數種新元素可命名。\r偵測到質量數高得驚\r人的原子結構。可以\r跳躍傳送開採。
79	0x4272	185	This planet's atmospheric\rconditions are undoubtedly\rresponsible for the host of New\rElements present here.  Since the\rcrust is still very active, it\rwill generate new supplies\rrapidly.	此星大氣條件無疑是\r這眾多新元素存在的\r主因。地殼仍很活躍，\r將快速生產新的供應。
80	0x432D	263	Scans indicate that the entire \rsurface of this planet is covered \rwith a flow of molten,\rsuperheated, something. I don't\rrecognize the material, but it\rappears to be caught in a state\rjust prior to cooling. The fumes\rare very toxic. Nothing we dare\rbring aboard.	掃描顯示此星整個地\r表覆蓋著熔融、超熱、\r某種不明物質之流。\r我認不出材質，但似\r乎處於即將冷卻前的\r狀態。煙氣劇毒，無\r一物敢帶上艦。
81	0x4436	214	Scans indicate lots of organic\rplant life. All in all, it looks\rlike a nice place to have a\rpicnic, but there's nothing of\rparticular interest here. No\rintelligent life indicated, and no\rrare or precious materials.	掃描顯示大量有機植\r物。整體看來像個郊\r遊好地方，但此處沒\r什麼特別值得注意之\r物。無智慧生命，亦\r無稀有貴重物質。
82	0x450E	278	Scans show the actual surface of \rthis planet to be the size of a \rlarge asteroid, but with \rapproximately the same mass as \rEarth. The bulk of what we see is\ran extremely thick layer of toxic\rgases that act as an atmosphere.\rThere are no minerals present that\rare useful to us.	掃描顯示此星實際地\r表僅一大型小行星大\r小，質量卻與地球相\r當。我們所見大部分\r是極厚的有毒氣體層\r作為大氣。無對我方\r有用之礦物。
83	0x4626	319	74 percent of the planet's surface\ris covered with snow and ice. They\rappear to be in their own ice age,\ralthough I don't know why I say\r'they.' I have no indications of\rlife anywhere. Any materials we\rcould use would be buried under\rhundreds of feet of ice. It would\rtake us too long to get anything\rout of this place.	行星百分之七十四地\r表覆蓋冰雪。它們似\r乎正處於自己的冰河\r期，雖然不知為何我\r用『它們』來說。各\r處均無生命跡象。任\r何有用材料皆埋於數\r百呎冰層之下。從此\r處取物耗時太久。
84	0x4767	265	The surface of this planet appears\rto be only recently cooling down \rfrom severe volcanic activity.\rThere is no vegetation or\ratmosphere present, and a noxious\rgas is seeping from the cooling\rlava. There are no elements here\rwe can't easily get from another\rplanet.	行星地表似乎才剛從\r激烈火山活動冷卻下\r來。沒有植被或大氣，\r冷卻熔岩滲出有毒氣\r體。此地無任何元素\r是別處難以取得的。
